Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
E:\udacity\IMG\robocam_2017_06_03_19_53_13_184.jpg;0;0;1;0;99.66999;85.58897;0.0002213167;56.82556;7.805718E-07
E:\udacity\IMG\robocam_2017_06_03_19_53_13_193.jpg;0;0;0;0;99.66999;85.58897;0.0001950196;56.82556;4.639795E-07
E:\udacity\IMG\robocam_2017_06_03_19_53_13_236.jpg;0;0;0;0;99.66999;85.58897;0.0001929697;56.82556;2.431006E-07
E:\udacity\IMG\robocam_2017_06_03_19_53_13_287.jpg;-1.004922;0;0;0;99.66999;85.58897;0.0001904753;56.76526;5.469129E-07
E:\udacity\IMG\robocam_2017_06_03_19_53_13_337.jpg;-3.062892;0;0;0;99.66999;85.58897;0.0001880726;56.46066;1.667409E-06
E:\udacity\IMG\robocam_2017_06_03_19_53_13_387.jpg;-0.0719022;0;0;0;99.66999;85.58897;0.0001865853;56.26817;1.923638E-06
E:\udacity\IMG\robocam_2017_06_03_19_53_13_436.jpg;0;0;0;0;99.66999;85.58897;0.0001865606;56.26817;1.637345E-06
E:\udacity\IMG\robocam_2017_06_03_19_53_13_487.jpg;-2.002765;0;0;0;99.66999;85.58897;0.0001865565;56.08742;1.429165E-06
E:\udacity\IMG\robocam_2017_06_03_19_53_13_537.jpg;-4.007583;0;0;0;99.66999;85.58897;0.0001873134;55.66626;2.574032E-06
E:\udacity\IMG\robocam_2017_06_03_19_53_13_586.jpg;-1.004021;0.04989846;0;0;99.67006;85.58907;0.003054331;55.36727;-1.413567E-05
E:\udacity\IMG\robocam_2017_06_03_19_53_13_636.jpg;0;0.1996902;0;0;99.67017;85.58925;0.007679177;55.37264;2.694723E-05
E:\udacity\IMG\robocam_2017_06_03_19_53_13_686.jpg;0;0.3500844;0;0.01193027;99.67111;85.59061;0.04383448;55.30531;1.327185E-05
E:\udacity\IMG\robocam_2017_06_03_19_53_13_736.jpg;0;0.4999185;0;0.0241853;99.67183;85.59165;0.06855416;55.24085;1.223132E-05
E:\udacity\IMG\robocam_2017_06_03_19_53_13_786.jpg;0;0.6511529;0;0.04211579;99.6739;85.59465;0.1397702;55.39929;-0.0003260625
E:\udacity\IMG\robocam_2017_06_03_19_53_13_837.jpg;0;0.8001503;0;0.09751666;99.67699;85.59914;0.2502011;55.49479;-0.0006833923
E:\udacity\IMG\robocam_2017_06_03_19_53_13_887.jpg;0;0.9504293;0;0.1071301;99.68254;85.6072;0.4316739;55.48352;-0.0009850425
E:\udacity\IMG\robocam_2017_06_03_19_53_13_936.jpg;0;1;0;0.1472299;99.68724;85.61408;0.5686086;55.63073;-0.001289088
E:\udacity\IMG\robocam_2017_06_03_19_53_13_986.jpg;0;1;0;0.1954566;99.69643;85.6274;0.8158394;55.48515;-0.0004691695
E:\udacity\IMG\robocam_2017_06_03_19_53_14_037.jpg;0;1;0;0.2540896;99.70389;85.63824;1.001521;55.5664;-0.001719256
E:\udacity\IMG\robocam_2017_06_03_19_53_14_087.jpg;0;1;0;0.2872665;99.716;85.65581;1.255909;55.59655;-0.0007228396
E:\udacity\IMG\robocam_2017_06_03_19_53_14_137.jpg;0;1;0;0.3383221;99.72426;85.66754;1.337938;55.62256;-0.00377236
E:\udacity\IMG\robocam_2017_06_03_19_53_14_187.jpg;0;1;0;0.3760341;99.73599;85.68388;1.213955;55.63391;-0.001542021
E:\udacity\IMG\robocam_2017_06_03_19_53_14_237.jpg;0;1;0;0.4337904;99.74484;85.69657;1.129158;55.69396;-0.0006980688
E:\udacity\IMG\robocam_2017_06_03_19_53_14_287.jpg;0;1;0;0.4621296;99.76009;85.71862;1.065816;55.70446;-0.0009322954
E:\udacity\IMG\robocam_2017_06_03_19_53_14_337.jpg;0;1;0;0.5204282;99.77151;85.73521;1.061449;55.5736;0.001177209
E:\udacity\IMG\robocam_2017_06_03_19_53_14_387.jpg;0;1;0;0.5553597;99.79025;85.76241;1.091937;55.62199;-0.0008280439
E:\udacity\IMG\robocam_2017_06_03_19_53_14_437.jpg;0;1;0;0.58081;99.80383;85.78212;1.134614;55.51949;0.001354964
E:\udacity\IMG\robocam_2017_06_03_19_53_14_487.jpg;0;1;0;0.6151446;99.82582;85.81398;1.216567;55.39843;6.655598E-05
E:\udacity\IMG\robocam_2017_06_03_19_53_14_537.jpg;0;1;0;0.652643;99.84076;85.83556;1.232587;55.40191;-0.0009359791
E:\udacity\IMG\robocam_2017_06_03_19_53_14_587.jpg;0;1;0;0.6953517;99.86488;85.87032;1.244418;55.43418;-0.001095997
E:\udacity\IMG\robocam_2017_06_03_19_53_14_638.jpg;0;1;0;0.7547708;99.882;85.89488;1.243603;55.39104;-0.000651983
E:\udacity\IMG\robocam_2017_06_03_19_53_14_687.jpg;0;1;0;0.7921302;99.90879;85.93335;1.218935;55.43576;-0.001643539
E:\udacity\IMG\robocam_2017_06_03_19_53_14_737.jpg;0;1;0;0.8354114;99.92751;85.96028;1.19655;55.49762;-0.001967737
E:\udacity\IMG\robocam_2017_06_03_19_53_14_787.jpg;0;1;0;0.8735316;99.95734;86.00329;1.201784;55.45019;0.0002040167
E:\udacity\IMG\robocam_2017_06_03_19_53_14_838.jpg;0;1;0;0.9274257;99.97831;86.03351;1.216548;55.39573;-0.0005941202
E:\udacity\IMG\robocam_2017_06_03_19_53_14_887.jpg;0;1;0;0.9598734;100.0112;86.08089;1.234173;55.38303;-0.0008940016
E:\udacity\IMG\robocam_2017_06_03_19_53_14_937.jpg;0;1;0;1.002714;100.034;86.11371;1.237612;55.37812;-0.000907613
E:\udacity\IMG\robocam_2017_06_03_19_53_14_987.jpg;0;1;0;1.035062;100.0696;86.16478;1.230144;55.37051;-0.0009073169
E:\udacity\IMG\robocam_2017_06_03_19_53_15_038.jpg;0;1;0;1.084322;100.0941;86.19994;1.218028;55.38413;-0.001261015
E:\udacity\IMG\robocam_2017_06_03_19_53_15_087.jpg;0;1;0;1.108378;100.1323;86.25482;1.222275;55.33346;-0.0006429578
E:\udacity\IMG\robocam_2017_06_03_19_53_15_138.jpg;0;1;0;1.160572;100.1587;86.29277;1.227804;55.30394;-0.0004704839
E:\udacity\IMG\robocam_2017_06_03_19_53_15_187.jpg;-0.7556636;1;0;1.18989;100.1997;86.35136;1.2271;55.24889;-0.0005353588
E:\udacity\IMG\robocam_2017_06_03_19_53_15_237.jpg;-3.002594;1;0;1.237682;100.2282;86.39146;1.225523;55.1455;-0.0001668175
E:\udacity\IMG\robocam_2017_06_03_19_53_15_287.jpg;-5.261668;1;0;1.271147;100.2736;86.45306;1.237244;54.81449;0.0008009196
E:\udacity\IMG\robocam_2017_06_03_19_53_15_337.jpg;-7.502492;1;0;1.314199;100.3053;86.49452;1.230324;54.46024;0.001725634
E:\udacity\IMG\robocam_2017_06_03_19_53_15_387.jpg;-9.752462;1;0;1.346353;100.3557;86.55766;1.227419;53.71989;0.001228622
E:\udacity\IMG\robocam_2017_06_03_19_53_15_437.jpg;-12.0017;1;0;1.39154;100.3913;86.60017;1.227839;53.09375;359.9912
E:\udacity\IMG\robocam_2017_06_03_19_53_15_487.jpg;-14.25358;1;0;1.420501;100.448;86.66383;1.223267;51.89554;359.9556
E:\udacity\IMG\robocam_2017_06_03_19_53_15_537.jpg;-15;1;0;1.464158;100.4876;86.70612;1.202777;50.96756;359.9329
E:\udacity\IMG\robocam_2017_06_03_19_53_15_588.jpg;-15;1;0;1.494263;100.5499;86.76961;1.157647;49.52066;359.8987
E:\udacity\IMG\robocam_2017_06_03_19_53_15_637.jpg;-15;1;0;1.538602;100.5933;86.81207;1.125845;48.53848;359.8721
E:\udacity\IMG\robocam_2017_06_03_19_53_15_687.jpg;-13.49089;1;0;1.569086;100.6613;86.87616;1.079985;47.08506;359.8311
E:\udacity\IMG\robocam_2017_06_03_19_53_15_737.jpg;-11.25186;1;0;1.615543;100.7082;86.9196;1.056814;46.20353;359.811
E:\udacity\IMG\robocam_2017_06_03_19_53_15_787.jpg;-8.990314;1;0;1.646996;100.7805;86.98635;1.036566;45.10118;359.804
E:\udacity\IMG\robocam_2017_06_03_19_53_15_837.jpg;-6.75111;1;0;1.693405;100.8302;87.03188;1.033293;44.494;359.812
E:\udacity\IMG\robocam_2017_06_03_19_53_15_888.jpg;-4.491468;1;0;1.724889;100.9066;87.10222;1.056873;43.82943;359.8421
E:\udacity\IMG\robocam_2017_06_03_19_53_15_937.jpg;-2.24397;1;0;1.770039;100.9588;87.15054;1.092273;43.53146;359.8732
E:\udacity\IMG\robocam_2017_06_03_19_53_15_987.jpg;0;1;0;1.799632;101.0384;87.22569;1.17739;43.35766;359.9444
E:\udacity\IMG\robocam_2017_06_03_19_53_16_037.jpg;0;1;0;1.84397;101.0925;87.27722;1.250511;43.34281;-0.002129445
E:\udacity\IMG\robocam_2017_06_03_19_53_16_088.jpg;0;1;0;1.872858;101.1759;87.3548;1.335638;43.31718;-0.001319759
E:\udacity\IMG\robocam_2017_06_03_19_53_16_137.jpg;-0.7520027;1;0;1.919901;101.2318;87.40698;1.333424;43.30872;-0.001749376
E:\udacity\IMG\robocam_2017_06_03_19_53_16_187.jpg;-3.001446;1;0;1.951876;101.3176;87.4858;1.294474;43.1223;0.0001131005
E:\udacity\IMG\robocam_2017_06_03_19_53_16_237.jpg;-3.753624;1;0;1.997074;101.3767;87.53885;1.282175;42.85281;0.001066791
E:\udacity\IMG\robocam_2017_06_03_19_53_16_287.jpg;-1.50487;1;0;2.026347;101.4675;87.62009;1.292109;42.50372;0.0003792253
E:\udacity\IMG\robocam_2017_06_03_19_53_16_337.jpg;0;1;0;2.070278;101.5289;87.67545;1.297851;42.39806;-0.0001262308
E:\udacity\IMG\robocam_2017_06_03_19_53_16_388.jpg;0;1;0;2.099285;101.6224;87.76009;1.305878;42.35001;-0.001042835
E:\udacity\IMG\robocam_2017_06_03_19_53_16_437.jpg;0;1;0;2.144637;101.6859;87.81746;1.305767;42.33704;-0.001146222
E:\udacity\IMG\robocam_2017_06_03_19_53_16_487.jpg;0;1;0;2.174048;101.7828;87.90504;1.311898;42.3231;-0.00122143
E:\udacity\IMG\robocam_2017_06_03_19_53_16_537.jpg;0;1;0;2.21835;101.8484;87.96434;1.311706;42.31596;-0.001219508
E:\udacity\IMG\robocam_2017_06_03_19_53_16_587.jpg;0;1;0;2.247607;101.9486;88.05482;1.316848;42.30402;-0.001251856
E:\udacity\IMG\robocam_2017_06_03_19_53_16_638.jpg;0;1;0;2.291668;102.0165;88.11606;1.315608;42.29703;-0.001226182
